Player,Team,Pos,Age,EXP,Type,Rights,GP,MPG,PPG,RPG,AGP,SPG,BPG,2019-2020 AAV
Allonzo Trier,NYK,SG,24,2,RFA,Early Bird,24,12.1,6.5,1.2,1.2,0.1,0.2,"$3,466,550 "
Yogi Ferrell,SAC,PG,27,4,UFA,Early Bird,44,11,4.2,1.1,1.3,0.3,0.1,"$3,075,000 "
Jakob Poeltl,SAS,C,24,4,RFA,Bird,58,16.6,5.3,5.3,1.8,0.5,1.4,"$3,057,952 "
Bryn Forbes,SAS,SG,27,4,UFA,Bird,63,25.1,11.2,2,1.7,0.5,,"$3,000,000 "
Thon Maker,DET,C,23,4,RFA,Bird,60,12.9,4.7,2.8,0.7,0.4,0.7,"$2,905,531 "
Dario Saric,PHX,PF,26,4,RFA,Bird,58,24.8,10.1,5.9,1.9,0.6,0.3,"$2,687,417 "
Wesley Matthews,MIL,SG,33,10,PO,,62,24.6,7.5,2.6,1.5,0.6,0.1,"$2,628,872 "
Rajon Rondo,LAL,PG,34,13,PO,,48,20.5,7.1,3,5,0.8,0,"$2,592,179 "
Kyle Korver,MIL,SG,39,17,UFA,Non-Bird,50,16.6,6.7,2.1,1.2,0.4,0.2,"$2,564,753 "
Vince Carter,ATL,SG,43,22,UFA,Non-Bird,60,14.6,5,2.1,0.8,0.4,0.4,"$2,564,753 "
Udonis Haslem,MIA,PF,40,17,UFA,Bird,4,5,1.3,2,0.3,,,"$2,564,753 "
Dwight Howard,LAL,C,34,16,UFA,Non-Bird,62,19.2,7.5,7.4,0.7,0.4,1.2,"$2,564,753 "
Thabo Sefolosha,HOU,SF,36,14,UFA,Non-Bird,41,10.6,2.2,2.3,0.6,0.6,0.3,"$2,564,753 "
Jose Barea,DAL,PG,36,14,UFA,Bird,26,15,7.5,1.8,3.8,0.2,0.1,"$2,564,753 "
Jared Dudley,LAL,SF,35,13,UFA,Non-Bird,40,7.8,1.5,1.1,0.5,0.3,0.1,"$2,564,753 "
Wilson Chandler,BKN,SF,33,13,UFA,Non-Bird,35,21,5.9,4.1,1.1,0.5,0.3,"$2,564,753 "
Tyson Chandler,HOU,C,37,19,UFA,Non-Bird,26,8.4,1.3,2.5,0.2,0.2,0.3,"$2,564,753 "
Rondae Hollis-Jefferson,TOR,SF,25,5,UFA,Non-Bird,52,19.2,7.2,4.9,1.7,0.8,0.4,"$2,500,000 "
Denzel Valentine,CHI,SG,26,3,RFA,Bird,36,13.5,6.8,2.1,1.2,0.7,0.2,"$2,484,192 "
Juan Hernangomez,MIN,PF,25,4,UFA,Bird,48,17.4,6,4.1,0.8,0.4,0.2,"$2,387,918 "
Patrick Patterson,LAC,PF,31,10,UFA,Non-Bird,51,11.9,4.6,2.4,0.6,0.1,0.1,"$2,331,593 "
Alec Burks,PHI,SG,29,9,UFA,Non-Bird,59,27.3,15.1,4.4,2.9,1,0.3,"$2,320,044 "
Austin Rivers,HOU,SG,28,7,PO,,60,23.4,8.5,2.4,1.6,0.7,0.2,"$2,271,991 "
